authors;scale_number_new;definition;item_list;facets;reliability_alpha_new;reliability_composite_new;reliability_testretest;reliability_splithalf;validity_content;validity_content_experts;validity_construct_factor_new;validity_construct_factor_fitindices;validity_construct_discriminant_type;validity_construct_convergent_type;validity_criterion_type;validity_incremental
Alqarni;6;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0
Bojmaeh;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Cavus et al.;13;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Day;17;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0
Dorsey-Lockett;19;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
Gagne;20;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Gillam et al.;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Amo;32;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Aurigemma et al.;42;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0
Beugré;60;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
Thompson et al.;71A;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0
Torten et al.;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
McGill et al.;84;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Ranzini et al.;89B;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0
Weinberger et al. ;98;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Weinberger et al. ;98;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sharma;104;1;1;0;1;1;0;0;1;0;0;0;1;1;0;0
Smith et al.;147;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
